2 ﻿Name,Variation,DIY,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Seasonal Availability,Mannequin Piece,Version,Style,Label Themes,Type,Villager Equippable,Catalog,Filename,Internal ID,Unique Entry ID
10358 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10359 ribbon,Red,No,490,122,Red,Red,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLRibbon1,2610,Cm8LuNKxhXSxdPGbf
10360 sleeping bag,Purple,NA,NA,NA,No,No,No,NA,1400,350,Pink,Purple,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrSleepingbag_Remake_5_0,5_0,1434,ieBwocmAHz7HFuZG3
10361 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10362 ribbon,Blue,No,490,122,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLRibbon2,10851,bhLAKNQyDxoq2rerS
10363 sleeping bag,White,NA,NA,NA,No,No,No,NA,1400,350,White,Yellow,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrSleepingbag_Remake_6_0,6_0,1434,5CDunQBfMXhETZFXs
10364 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10365 ribbon,Yellow,No,490,122,Yellow,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLRibbon3,10852,NS2NKE2exTtytCZB2
10366 sleeping bag,Red,NA,NA,NA,No,No,No,NA,1400,350,Red,Blue,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrSleepingbag_Remake_7_0,7_0,1434,gySoF6o3E2dBzfjL9
10367 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10368 ribbon,Orange,No,490,122,Orange,Orange,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLRibbon4,10853,J6P6YsgHwNoNq2LAk
10370 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10371 ribbon,Pink,No,490,122,Pink,Pink,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLRibbon5,10854,CgYXHSbH8Bn9HYfHk
10372 ribbon,White,No,490,122,White,White,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLRibbon6,10855,Za6NEdY6H8kymJjZD
10372 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10369 sleigh,Natural,Body color,NA,NA,Yes,Yes,No,2,NFS,960,Orange,Red,2x1,NA,Crafting,,1.0.0,garden,None,festive,None,Yes,Chair,Yes,Does not play music,No lighting,Not for sale,FtrSled_Remake_0_0,0_0,7281,xo5EbWumiYA8KCNQz
10373 ribbon,Black,No,490,122,Black,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Cute,everyday; fairy tale; party; theatrical,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLRibbon7,10856,S6o27pK4x9JPsETr4
10374 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10376 ribboned garden hat,Blue,No,700,175,Beige,Light blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Yes,1.0.0,Cute,everyday; fairy tale; vacation,HeadCap,Yes,For sale,CapHatGarlystrawhat0,9868,rLYhFzqMMmBMunom8
10375 sleigh,Dark brown,Body color,NA,NA,Yes,Yes,No,2,NFS,960,Brown,Blue,2x1,NA,Crafting,,1.0.0,garden,None,festive,None,Yes,Chair,Yes,Does not play music,No lighting,Not for sale,FtrSled_Remake_1_0,1_0,7281,e5oWbNEQNgk9HBATb
10377 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10378 ribboned garden hat,Pink,No,700,175,White,Pink,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,everyday; fairy tale; vacation,HeadCap,Yes,For sale,CapHatGarlystrawhat1,11990,uwjz7ukHv4SHPXK5z
10379 sleigh,Red,Body color,NA,NA,Yes,Yes,No,2,NFS,960,Red,Blue,2x1,NA,Crafting,,1.0.0,garden,None,festive,None,Yes,Chair,Yes,Does not play music,No lighting,Not for sale,FtrSled_Remake_2_0,2_0,7281,HwQduBZenwteYguxu
10380 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10381 ribboned garden hat,Black,No,700,175,Brown,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,Yes,1.0.0,Cute,everyday; fairy tale; vacation,HeadCap,Yes,For sale,CapHatGarlystrawhat2,11991,5SgJGpo9igFCaPRoN
10382 sleigh,White,Body color,NA,NA,Yes,Yes,No,2,NFS,960,White,Red,2x1,NA,Crafting,,1.0.0,garden,None,festive,None,Yes,Chair,Yes,Does not play music,No lighting,Not for sale,FtrSled_Remake_3_0,3_0,7281,f7LtHFY4Hhf8mxr9h
10383 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10384 ribboned garden hat,Brown,No,700,175,Black,Brown,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,Summer,No,1.0.0,Cute,everyday; fairy tale; vacation,HeadCap,Yes,For sale,CapHatGarlystrawhat3,11992,qAraqZxBigCooecK5
10385 small cardboard boxes,NA,NA,NA,NA,Yes,No,No,NA,NFS,120,None,None,1x1,NA,Crafting,,1.0.0,garage,None,cardboard,None,No,Supplies,No,Does not play music,No lighting,Not for sale,FtrMovingboxS,NA,3410,HwJGSRRxcaHNGSoku
10386 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10387 ribboned straw hat,Light blue,No,490,122,Beige,Light blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Cute,everyday; comfy; vacation,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLMinistrawhat0,7273,rMzmWuC9KfJf6peAm
10388 smoker,Black,NA,NA,NA,No,No,No,NA,5500,1375,Black,Beige,1x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Kitchen Things,Yes,Does not play music,No lighting,For sale,FtrSmoker_Remake_0_0,0_0,1143,pDb2pG9rr7tFyMTuP
10389 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10390 ribboned straw hat,Pink,No,490,122,Beige,Pink,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; comfy; vacation,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLMinistrawhat1,10894,x9BQmtbCtQBA9AYBt
10392 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10391 smoker,Green,NA,NA,NA,No,No,No,NA,5500,1375,Green,Beige,1x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Kitchen Things,Yes,Does not play music,No lighting,For sale,FtrSmoker_Remake_1_0,1_0,1143,kCqCjmYk5cgx6zKjj
10393 ribboned straw hat,Black,No,490,122,Beige,Black,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Cute,everyday; comfy; vacation,HeadHairOrnament_Left,Yes,For sale,CapOrnamentLMinistrawhat2,10895,YLtzZraTojRJKEEwD
10394 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10395 smoker,Silver,NA,NA,NA,No,No,No,NA,5500,1375,Gray,Gray,1x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Kitchen Things,Yes,Does not play music,No lighting,For sale,FtrSmoker_Remake_2_0,2_0,1143,atPGmEYE58Y9B3vuc
10396 rose crown,Colorful,Yes,NFS,480,Red,Yellow,1x1,NA,Crafting,,All Year,No,1.0.0,Cute,fairy tale; party; vacation,HeadHairOrnament_Top,Yes,Not for sale,CapOrnamentRose1,5111,jnYpwpwEuPzZBLyNE
10397 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10398 snack machine,Black,NA,NA,NA,No,No,No,NA,NFS,10000,Black,Colorful,2x1,2000,Nook Miles Shop,,1.0.0,facility,shop,None,None,Yes,Facility Decor,Yes,Does not play music,Monitor,Not for sale,FtrFoodmachine_Remake_0_0,0_0,971,o6tEQPs8CZntQwmAK
10399 royal crown,Red,No,1200000,300000,Red,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Gorgeous,fairy tale; party; theatrical,HeadCap,Yes,For sale,CapHatCrownRed,5307,s8RSxedxt7JkFnGCw
10400 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10401 snack machine,White,NA,NA,NA,No,No,No,NA,NFS,10000,White,Colorful,2x1,2000,Nook Miles Shop,,1.0.0,facility,shop,None,None,Yes,Facility Decor,Yes,Does not play music,Monitor,Not for sale,FtrFoodmachine_Remake_1_0,1_0,971,42niEBKEQhHmXxDCY
10402 safety helmet,Yellow,No,770,192,Yellow,Yellow,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,Yes,1.0.0,Active,work,HeadCap,Yes,For sale,CapHatSafetyhat0,5139,yLTcbe5oBBNaBeZ6C
10403 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10404 snack machine,Red,NA,NA,NA,No,No,No,NA,NFS,10000,Red,Colorful,2x1,2000,Nook Miles Shop,,1.0.0,facility,shop,None,None,Yes,Facility Decor,Yes,Does not play music,Monitor,Not for sale,FtrFoodmachine_Remake_2_0,2_0,971,rt4p5YzfXPb2FXyef
10405 safety helmet,Blue,No,770,192,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,work,HeadCap,Yes,For sale,CapHatSafetyhat1,10215,6jCASto2hkup7SnCx
10406 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10407 snack machine,Silver,NA,NA,NA,No,No,No,NA,NFS,10000,Gray,Colorful,2x1,2000,Nook Miles Shop,,1.0.0,facility,shop,None,None,Yes,Facility Decor,Yes,Does not play music,Monitor,Not for sale,FtrFoodmachine_Remake_3_0,3_0,971,6q5rC5XkAwDYDtEAY
10409 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10410 soccer goal,NA,NA,NA,NA,No,No,No,NA,NFS,20000,White,White,3x2,4000,Nook Miles Shop,,1.0.0,fitness,None,None,None,No,Sports,Yes,Does not play music,No lighting,Not for sale,FtrSoccergoal,NA,1149,wzWPLmRmjzSPdciCR
10411 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10408 safety helmet,Orange,No,770,192,Orange,Orange,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,work,HeadCap,Yes,For sale,CapHatSafetyhat2,10216,dhHYz2RRjWayfkQEH
10412 soft-serve lamp,Vanilla,NA,NA,NA,No,No,No,NA,3000,750,White,Beige,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,fancy,None,None,Yes,Lamp,Yes,Does not play music,Fluorescent,For sale,FtrLampSoftcream_Remake_0_0,0_0,3416,oPiLmz49MQzTRDmxX
10413 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10414 safety helmet,Green,No,770,192,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,work,HeadCap,Yes,For sale,CapHatSafetyhat3,10217,Ln5vmrGq2hJkR3PtT
10417 safety helmet,Black,No,770,192,Black,Black,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Active,work,HeadCap,Yes,For sale,CapHatSafetyhat4,10218,9sEsTF8fz25uiKeyu
10415 soft-serve lamp,Purple sweet potato,NA,NA,NA,No,No,No,NA,3000,750,Purple,Beige,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,fancy,None,None,Yes,Lamp,Yes,Does not play music,Fluorescent,For sale,FtrLampSoftcream_Remake_1_0,1_0,3416,DfXYbuExurXsjxZkm
10418 sailor's hat,White,No,1680,420,White,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,Yes,1.0.0,Simple,vacation; work,HeadCap,Yes,For sale,CapHatSailor0,5265,4X4XmNgYXYAzzNtdi
10419 soft-serve lamp,Mango,NA,NA,NA,No,No,No,NA,3000,750,Orange,Beige,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,fancy,None,None,Yes,Lamp,Yes,Does not play music,Fluorescent,For sale,FtrLampSoftcream_Remake_2_0,2_0,3416,Za47FuhQPhwk4SxGH
10420 sailor's hat,Navy blue,No,1680,420,Blue,White,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,vacation; work,HeadCap,Yes,For sale,CapHatSailor1,10751,n86dWH8vAaQB7WEPw
10421 soft-serve lamp,Pale sky,NA,NA,NA,No,No,No,NA,3000,750,Light blue,Beige,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,fancy,None,None,Yes,Lamp,Yes,Does not play music,Fluorescent,For sale,FtrLampSoftcream_Remake_3_0,3_0,3416,Jxo5EY4WdvFarktBX
10416 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10422 sailor's hat,Blue,No,1680,420,Light blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,vacation; work,HeadCap,Yes,For sale,CapHatSailor2,10752,XeLSB8Q8sGesA7we4
10423 soft-serve lamp,Green tea,NA,NA,NA,No,No,No,NA,3000,750,Green,Beige,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,fancy,None,None,Yes,Lamp,Yes,Does not play music,Fluorescent,For sale,FtrLampSoftcream_Remake_4_0,4_0,3416,6fAMxYg6FY998kY7K
10425 samurai helmet,Red,No,5880,1470,Red,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,theatrical; work,Headgear_NoEarNoJaw,No,For sale,CapCostumeSamurai0,5386,CRaXaihromqkoANCX
10424 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10426 soft-serve lamp,Chocolate swirl,NA,NA,NA,No,No,No,NA,3000,750,Colorful,Beige,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,fancy,None,None,Yes,Lamp,Yes,Does not play music,Fluorescent,For sale,FtrLampSoftcream_Remake_5_0,5_0,3416,Mqp9e4F6gCq4WmbKb
10427 samurai helmet,Black,No,5880,1470,Black,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,theatrical; work,Headgear_NoEarNoJaw,No,For sale,CapCostumeSamurai1,11877,tYs5STREcJNLa54Bg
10428 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10429 soft-serve lamp,Strawberry swirl,NA,NA,NA,No,No,No,NA,3000,750,Colorful,Beige,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,fancy,None,None,Yes,Lamp,Yes,Does not play music,Fluorescent,For sale,FtrLampSoftcream_Remake_6_0,6_0,3416,atx7NCKyDqvmAd8e4
10430 samurai helmet,Blue,No,5880,1470,Blue,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,theatrical; work,Headgear_NoEarNoJaw,No,For sale,CapCostumeSamurai2,11878,mA3xB6PbuWSJYRfGL
10431 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10432 soft-serve lamp,Rainbow,NA,NA,NA,No,No,No,NA,3000,750,Colorful,Beige,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,fancy,None,None,Yes,Lamp,Yes,Does not play music,Fluorescent,For sale,FtrLampSoftcream_Remake_7_0,7_0,3416,48pMn7MzS9EXnnMJ9
10433 samurai helmet,White,No,5880,1470,White,Gray,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,theatrical; work,Headgear_NoEarNoJaw,No,For sale,CapCostumeSamurai3,11879,Ffq5iTxhgCu7y3DSS
10434 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10435 solar panel,Blue,NA,NA,NA,No,No,No,NA,NFS,20000,Blue,Blue,3x2,4000,Nook Miles Shop,,1.0.0,space,None,None,None,No,Space,Yes,Does not play music,No lighting,Not for sale,FtrSolarpanel_Remake_0_0,0_0,2333,LDM88odgixzPSo8R2
10436 samurai helmet,Golden yellow,No,5880,1470,Orange,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Active,theatrical; work,Headgear_NoEarNoJaw,No,For sale,CapCostumeSamurai4,11880,ns5rMmrK588zgh69K
10437 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10438 solar panel,Black,NA,NA,NA,No,No,No,NA,NFS,20000,Black,Black,3x2,4000,Nook Miles Shop,,1.0.0,space,None,None,None,No,Space,Yes,Does not play music,No lighting,Not for sale,FtrSolarpanel_Remake_1_0,1_0,2333,c27hGanLDKoXeKiKt
10439 samurai wig,Hair Color,No,NFS,800,Colorful,Colorful,1x1,NA,Gulliver,,All Year,No,1.0.0,Elegant,theatrical,Headgear_HasEar,No,Not for sale,CapWigSamurai,5690,sPyM96NbCMMthDRAT
10440 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10441 South Pole,NA,NA,NA,NA,No,No,No,NA,NFS,1050,Colorful,White,1x1,NA,Gulliver,,1.0.0,folk art,garden,None,None,No,Outdoors Decor,Yes,Does not play music,No lighting,Not for sale,FtrSouthpole,NA,8150,27pspP23cckcDg59B
10442 scholar's hat,Red,No,3010,752,Black,Red,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,HeadCap,Yes,For sale,CapHatBachelor0,5137,ngKiFRMtrgD6LBE6A
10443 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10444 space shuttle,NA,NA,NA,NA,Yes,No,No,NA,NFS,10000,White,Black,2x1,NA,Crafting,,1.0.0,space,None,None,None,Yes,Space,Yes,Does not play music,No lighting,Not for sale,FtrShuttle,NA,1444,uFQvuL2KQhFRjNrvB
10445 scholar's hat,Green,No,3010,752,Black,Green,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,HeadCap,Yes,For sale,CapHatBachelor1,11867,v3t8KjW53rwn4gX5n
10447 speed bag,Red,NA,NA,NA,No,No,No,NA,3500,875,Red,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,fitness,None,None,None,Yes,Sports,No,Does not play music,No lighting,For sale,FtrSpeedbag_Remake_0_0,0_0,7653,BrNXn9D8ysqCD9Pjo
10448 scholar's hat,Blue,No,3010,752,Black,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,HeadCap,Yes,For sale,CapHatBachelor2,11868,FRbH2BN8yuZ4bMdKK
10449 speed bag,Blue,NA,NA,NA,No,No,No,NA,3500,875,Blue,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,fitness,None,None,None,Yes,Sports,No,Does not play music,No lighting,For sale,FtrSpeedbag_Remake_1_0,1_0,7653,nBKoHEFk2mcNfomPM
10450 scholar's hat,Yellow,No,3010,752,Black,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,formal; work,HeadCap,Yes,For sale,CapHatBachelor3,11869,hfcgP2if8TbvFFDdK
10451 speed bag,Black,NA,NA,NA,No,No,No,NA,3500,875,Black,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,fitness,None,None,None,Yes,Sports,No,Does not play music,No lighting,For sale,FtrSpeedbag_Remake_2_0,2_0,7653,ZRSRxiAGZwaAtAumW
10453 sphinx,NA,NA,NA,NA,No,No,No,NA,NFS,2100,Beige,Beige,3x1,NA,Gulliver,,1.0.0,folk art,None,None,None,No,Folk Craft Decor,Yes,Does not play music,No lighting,Not for sale,FtrSphinx,NA,8702,zzSkjzaPCtzRHMuHZ
10446 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10454 spinning wheel,NA,NA,NA,NA,No,No,No,NA,970,242,Brown,Brown,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,zen-style,None,None,None,Yes,Japanese Style,No,Does not play music,No lighting,For sale,FtrSpinning,NA,1153,T7Ye3KTXos227guyW
10456 springy ride-on,White,NA,NA,NA,No,No,No,NA,NFS,10000,White,Green,1x1,2000,Nook Miles Shop,,1.0.0,facility,fancy,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrSpringrider_Remake_0_0,0_0,4379,yaf3NuR8y5nKjxA7X
10457 springy ride-on,Brown,NA,NA,NA,No,No,No,NA,NFS,10000,Beige,Yellow,1x1,2000,Nook Miles Shop,,1.0.0,facility,fancy,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrSpringrider_Remake_1_0,1_0,4379,DNG4EwcnFAHTA5QaM
10452 school hat,Yellow,No,560,140,Yellow,Yellow,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday,HeadCap,Yes,For sale,CapHatSchool0,4739,ihFYQjYM3HLa4CQNi
10458 springy ride-on,Dark brown,NA,NA,NA,No,No,No,NA,NFS,10000,Brown,White,1x1,2000,Nook Miles Shop,,1.0.0,facility,fancy,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrSpringrider_Remake_2_0,2_0,4379,f3npYw95JXQxk6aYF
10459 school hat,Navy blue,No,560,140,Blue,Blue,1x1,NA,Able Sisters,Available from Able Sisters shop only,All Year,No,1.0.0,Simple,everyday,HeadCap,Yes,For sale,CapHatSchool1,10867,iAunhufuX73SZi4P4
10460 springy ride-on,Red,NA,NA,NA,No,No,No,NA,NFS,10000,Red,Orange,1x1,2000,Nook Miles Shop,,1.0.0,facility,fancy,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrSpringrider_Remake_3_0,3_0,4379,bEvM7q9Wp3tjABicH
10455 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10461 shallow knit cap,Green,No,560,140,Green,Green,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatShallow0,5329,QnkCaKsFnY7koZXAn
10462 springy ride-on,Yellow,NA,NA,NA,No,No,No,NA,NFS,10000,Yellow,Green,1x1,2000,Nook Miles Shop,,1.0.0,facility,fancy,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrSpringrider_Remake_4_0,4_0,4379,qEbtgRutpRaXtvCi5
10463 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10464 shallow knit cap,Beige,No,560,140,Beige,Beige,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatShallow1,10938,ASNvzDY8sNYfWMx7D
10465 springy ride-on,Pink,NA,NA,NA,No,No,No,NA,NFS,10000,Pink,White,1x1,2000,Nook Miles Shop,,1.0.0,facility,fancy,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrSpringrider_Remake_5_0,5_0,4379,ghai5j7nETAbSeoMJ
10466 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10467 shallow knit cap,Navy blue,No,560,140,Blue,Blue,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatShallow2,10939,8dML5ksiTK3QpzaQn
10468 springy ride-on,Zebra,NA,NA,NA,No,No,No,NA,NFS,10000,White,Black,1x1,2000,Nook Miles Shop,,1.0.0,facility,fancy,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrSpringrider_Remake_6_0,6_0,4379,vFHbsz4TTh74fj3MP
10469 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10470 shallow knit cap,Red,No,560,140,Red,Red,1x1,NA,Able Sisters,Available from either Mable's temporary shop or Able Sisters shop,All Year,No,1.0.0,Simple,everyday; outdoorsy,HeadCap,Yes,For sale,CapHatShallow3,10940,beHqfsQ2Ndd6cjNrm
10471 squat toilet,NA,NA,NA,NA,No,No,No,NA,1500,375,White,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,zen-style,bathroom,None,None,Yes,Toilet,No,Does not play music,No lighting,For sale,FtrWCJapan,NA,2775,KFbCTud85cuXuQCxm
10472 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10474 stadiometer,Gray,NA,NA,NA,No,No,No,NA,2100,525,Black,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,facility,None,None,No,School,No,Does not play music,No lighting,For sale,FtrStadiometer_Remake_0_0,0_0,546,KmLzzEp4sxPnFsQt4
10475 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10476 stadiometer,Blue,NA,NA,NA,No,No,No,NA,2100,525,Blue,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,facility,None,None,No,School,No,Does not play music,No lighting,For sale,FtrStadiometer_Remake_1_0,1_0,546,qyAEC4fxwXKRMd3Wk
10477 ,,,,,,,,,,,,,,,,,,,,,,,#N/A,,,,,,,
10478 stadiometer,Pink,NA,NA,NA,No,No,No,NA,2100,525,Pink,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,facility,None,None,No,School,No,Does not play music,No lighting,For sale,FtrStadiometer_Remake_2_0,2_0,546,jAJCGeiA24YmF7oQP
